,Date,Close
0,2021-01-02,32127.267578125
1,2021-01-03,32782.0234375
2,2021-01-04,31971.9140625
3,2021-01-05,33992.4296875
4,2021-01-06,36824.36328125
5,2021-01-07,39371.04296875
6,2021-01-08,40797.609375
7,2021-01-09,40254.546875
8,2021-01-10,38356.44140625
9,2021-01-11,35566.65625
10,2021-01-12,33922.9609375
11,2021-01-13,37316.359375
12,2021-01-14,39187.328125
13,2021-01-15,36825.3671875
14,2021-01-16,36178.140625
15,2021-01-17,35791.27734375
16,2021-01-18,36630.07421875
17,2021-01-19,36069.8046875
18,2021-01-20,35547.75
19,2021-01-21,30825.69921875
20,2021-01-22,33005.76171875
21,2021-01-23,32067.642578125
22,2021-01-24,32289.37890625
23,2021-01-25,32366.392578125
24,2021-01-26,32569.849609375
25,2021-01-27,30432.546875
26,2021-01-28,33466.09765625
27,2021-01-29,34316.38671875
28,2021-01-30,34269.5234375
29,2021-01-31,33114.359375
30,2021-02-01,33537.17578125
31,2021-02-02,35510.2890625
32,2021-02-03,37472.08984375
33,2021-02-04,36926.06640625
34,2021-02-05,38144.30859375
35,2021-02-06,39266.01171875
36,2021-02-07,38903.44140625
37,2021-02-08,46196.46484375
38,2021-02-09,46481.10546875
39,2021-02-10,44918.18359375
40,2021-02-11,47909.33203125
41,2021-02-12,47504.8515625
42,2021-02-13,47105.515625
43,2021-02-14,48717.2890625
44,2021-02-15,47945.05859375
45,2021-02-16,49199.87109375
46,2021-02-17,52149.0078125
47,2021-02-18,51679.796875
48,2021-02-19,55888.1328125
49,2021-02-20,56099.51953125
50,2021-02-21,57539.9453125
51,2021-02-22,54207.3203125
52,2021-02-23,48824.42578125
53,2021-02-24,49705.33203125
54,2021-02-25,47093.8515625
55,2021-02-26,46339.76171875
56,2021-02-27,46188.453125
57,2021-02-28,45137.76953125
58,2021-03-01,49631.2421875
59,2021-03-02,48378.98828125
60,2021-03-03,50538.2421875
61,2021-03-04,48561.16796875
62,2021-03-05,48927.3046875
63,2021-03-06,48912.3828125
64,2021-03-07,51206.69140625
65,2021-03-08,52246.5234375
66,2021-03-09,54824.1171875
67,2021-03-10,56008.55078125
68,2021-03-11,57805.12109375
69,2021-03-12,57332.08984375
70,2021-03-13,61243.0859375
71,2021-03-14,59302.31640625
72,2021-03-15,55907.19921875
73,2021-03-16,56804.90234375
74,2021-03-17,58870.89453125
75,2021-03-18,57858.921875
76,2021-03-19,58346.65234375
77,2021-03-20,58313.64453125
78,2021-03-21,57523.421875
79,2021-03-22,54529.14453125
80,2021-03-23,54738.9453125
81,2021-03-24,52774.265625
82,2021-03-25,51704.16015625
83,2021-03-26,55137.3125
84,2021-03-27,55973.51171875
85,2021-03-28,55950.74609375
86,2021-03-29,57750.19921875
87,2021-03-30,58917.69140625
88,2021-03-31,58918.83203125
89,2021-04-01,59095.80859375
90,2021-04-02,59384.3125
91,2021-04-03,57603.890625
92,2021-04-04,58758.5546875
93,2021-04-05,59057.87890625
94,2021-04-06,58192.359375
95,2021-04-07,56048.9375
96,2021-04-08,58323.953125
97,2021-04-09,58245.00390625
98,2021-04-10,59793.234375
99,2021-04-11,60204.96484375
100,2021-04-12,59893.453125
101,2021-04-13,63503.45703125
102,2021-04-14,63109.6953125
103,2021-04-15,63314.01171875
104,2021-04-16,61572.7890625
105,2021-04-17,60683.8203125
106,2021-04-18,56216.18359375
