;index;data_account;data_amount;data_contract_address;data_evt_block_number;data_evt_block_time;data_evt_index;data_evt_tx_hash;data_writeAmount
21;21;\x20b618df0bd39613d2d329a0532dd04412f52dd8;0.15020034524355702;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11184630;2020-11-03 14:07:14+00:00;186;\x79b5e05c483cdcab90d32eee49408053e7349431c1c1930d6bab9922c2eb866f;1498755290077035261683
22;22;\xc6f8bcce8cc2f61a0323d211660120289283c9de;0.20043;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11185400;2020-11-03 17:03:20+00:00;294;\xd183dc14e29e4f1d80506d3482f55249a6cc2d514167adb060191a6807fb575a;1999965594639842555398
23;23;\x8f4115a174b5d669f8c78cdf460a0a0be3747c30;0.6013;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11185978;2020-11-03 19:13:25+00:00;63;\xd9f8f4c4bcbf9ae8296c952e1663aaf8f00cc7078aa082db8e24a0be348bee1c;5999996567664208594324
24;24;\x9c7b84be5d69bb41a718a4af921e44730a277f90;0.21045512039210704;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11186049;2020-11-03 19:28:19+00:00;242;\xba153f97a66658cb1c419c9eb7b5995e40b4fdd77e5880d126b19fdf78b9a3d2;2099999999999999999968
25;25;\xd799f16d365bd525e0cb0ed625c499b220b70ca8;1.00217;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11188970;2020-11-04 06:04:55+00:00;208;\x9c5a2e0111609f69a3faea90676a2ef0f8d3968ede5eef4ad1056e6c2348c8c3;9999974076287533296141
26;26;\x7015677ee5081832d606843d81c3103198b77cee;0.01555;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11190000;2020-11-04 09:56:29+00:00;214;\x84f9696dba315604c053b6ed8691217fcccdd6cfb5e64446438ebdfbeb55b1f5;154950535353253152687
27;27;\xf0fa11a2e720c7fc0cd97fdd4b1d23edfbc10325;1.0035596865149732;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11190922;2020-11-04 13:26:36+00:00;106;\x59b8a9f48daad02b3bc768cf5004899000585fdbe66fd67c050d9fa32051eb35;9999999999999999999137
28;28;\x26e82901651bc97ce8af33e463e6f5a18388cf13;0.5017798432574866;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11191594;2020-11-04 15:54:54+00:00;139;\x57092d685ce91d79b9b35fd6262a5af74eb2bb5e080800611598eb2a9facff28;4999999999999999937789
29;29;\x3185dc7c056f01b650a29424c13acd0349c81f15;0.10011;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11200477;2020-11-06 00:24:19+00:00;187;\x017a5ac0e6eb129260692fedf4acd433affcf1b05982aa1d7c360a5bdcdbdca8;998055216178724824584
30;30;\x7b4778d265f5280f600a2917c6aaf59b44fb2429;5.015;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11200605;2020-11-06 00:52:39+00:00;93;\x20154412aecc7cf1ab209b437acfd9e8dc27cfb7e8c3edc8fbb23ff9fe5a026f;49997471872303516085181
